stname	stID	class	opt_cour
student59	10120058	Network_1402	taekwondo
student60	10120059	Network_1402	taekwondo
student61	10120060	Network_1402	football
student62	10120061	Network_1402	football
student63	10120062	Network_1402	gymnastics
student64	10120063	Network_1402	swimming
student65	10120064	Network_1402	swimming
student66	10120065	Network_1402	table tennis
student67	10120066	Network_1402	taekwondo
student68	10120067	Network_1402	taekwondo
student69	10120068	Network_1402	gymnastics
student70	10120069	Network_1402	gymnastics
student71	10120070	Network_1402	badminton
student72	10120071	Network_1402	taekwondo
student73	10120072	Network_1402	gymnastics
student74	10120073	Network_1402	table tennis
student75	10120074	Network_1402	taekwondo
student76	10120075	Network_1402	taekwondo
student77	10120076	Network_1402	football
student78	10120077	Network_1402	football
student79	10120078	Network_1402	gymnastics
student80	10120079	Network_1402	swimming
student81	10120080	Network_1402	swimming
student82	10120081	Network_1402	table tennis
student83	10120082	Network_1402	taekwondo
student84	10120083	Network_1402	taekwondo
student85	10120084	Network_1402	gymnastics
student86	10120085	Network_1402	gymnastics
student87	10120086	Network_1402	basketball
student88	10120087	Network_1402	basketball
student89	10120088	Network_1402	basketball
student90	10120089	Network_1402	gymnastics
student91	10120090	Network_1402	gymnastics
student92	10120091	Network_1402	basketball
student93	10120092	Network_1402	tennis
student94	10120093	Network_1402	gymnastics
student95	10120094	Network_1402	basketball
student96	10120095	Network_1402	gymnastics
student97	10120096	Network_1402	tennis
student98	10120097	Network_1402	basketball
student99	10120098	Network_1402	tennis
student100	10120099	Network_1402	badminton
student101	10120100	Network_1403	basketball
student102	10120101	Network_1403	football
student103	10120102	Network_1403	basketball
student104	10120103	Network_1403	football
student105	10120104	Network_1403	table tennis
student106	10120105	Network_1403	swimming
student107	10120106	Network_1403	swimming
student108	10120107	Network_1403	swimming
student109	10120108	Network_1403	football
student110	10120109	Network_1403	table tennis
student111	10120110	Network_1403	badminton
student112	10120111	Network_1403	volleyball
student113	10120112	Network_1403	badminton
student114	10120113	Network_1403	volleyball
student115	10120114	Network_1403	tennis
student116	10120115	Network_1403	volleyball
student117	10120116	Network_1403	swimming
student118	10120117	Network_1403	football
student119	10120118	Network_1403	football
student120	10120119	Network_1403	table tennis
student121	10120120	Network_1403	badminton
student122	10120121	Network_1403	volleyball
student123	10120122	Network_1403	tennis
student124	10120123	Network_1403	volleyball
student125	10120124	Network_1403	volleyball
student126	10120125	Network_1403	tennis
student127	10120126	Network_1403	volleyball
student128	10120127	Network_1403	basketball
student129	10120128	Network_1403	taekwondo
student130	10120129	Network_1403	taekwondo
student131	10120130	Network_1403	table tennis
student132	10120131	Network_1403	badminton
student133	10120132	Network_1403	tennis
student134	10120133	Network_1403	swimming
student135	10120134	Network_1403	volleyball
student136	10120135	Network_1403	football
student137	10120136	Network_1403	table tennis
student138	10120137	Network_1403	badminton
student139	10120138	Network_1403	swimming
student140	10120139	Network_1403	tennis
student141	10120140	Network_1403	volleyball
student142	10120141	Network_1403	badminton
student143	10120142	Network_1403	basketball
student144	10120143	Network_1403	tennis
student145	10120144	Network_1403	tennis
student146	10120145	Network_1403	badminton
student147	10120146	Network_1403	swimming
student148	10120147	Network_1403	table tennis
student149	10120148	Network_1403	badminton
student150	10120149	Network_1403	volleyball
student151	10120150	Network_1403	tennis
student152	10120151	Network_1403	badminton
student153	10120152	Network_1403	basketball
student154	10120153	Network_1403	table tennis
student155	10120154	Network_1403	table tennis
student156	10120155	Network_1403	table tennis
student157	10120156	Network_1403	table tennis
student158	10120157	Network_1403	taekwondo
student159	10120158	Network_1403	taekwondo
student160	10120159	Network_1404	football
student161	10120160	Network_1404	football
student162	10120161	Network_1404	gymnastics
student163	10120162	Network_1404	swimming
student164	10120163	Network_1404	swimming
student165	10120164	Network_1404	table tennis
student166	10120165	Network_1404	taekwondo
student167	10120166	Network_1404	taekwondo
student168	10120167	Network_1404	gymnastics
student169	10120168	Network_1404	gymnastics
student170	10120169	Network_1404	badminton
student171	10120170	Network_1404	taekwondo
student172	10120171	Network_1404	gymnastics
student173	10120172	Network_1404	table tennis
student174	10120173	Network_1404	taekwondo
student175	10120174	Network_1404	taekwondo
student176	10120175	Network_1404	football
student177	10120176	Network_1404	football
student178	10120177	Network_1404	gymnastics
student179	10120178	Network_1404	swimming
student180	10120179	Network_1404	swimming
student181	10120180	Network_1404	table tennis
student182	10120181	Network_1404	taekwondo
student183	10120182	Network_1404	taekwondo
student184	10120183	Network_1404	gymnastics
student185	10120184	Network_1404	gymnastics
student186	10120185	Network_1404	basketball
student187	10120186	Network_1404	basketball
student188	10120187	Network_1404	basketball
student189	10120188	Network_1404	gymnastics
student190	10120189	Network_1404	gymnastics
student191	10120190	Network_1404	basketball
student192	10120191	Network_1404	tennis
student193	10120192	Network_1404	gymnastics
student194	10120193	Network_1404	basketball
student195	10120194	Network_1404	gymnastics
student196	10120195	Network_1404	tennis
student197	10120196	Network_1404	basketball
student198	10120197	Network_1404	tennis
student199	10120198	Network_1404	badminton
student200	10120199	Network_1404	basketball
student201	10120200	Network_1404	football
student202	10120201	Network_1404	basketball
student203	10120202	Network_1404	football
student204	10120203	Network_1404	table tennis
student205	10120204	Network_1404	swimming
student206	10120205	Network_1404	swimming
student207	10120206	Network_1404	swimming
student208	10120207	Network_1404	football
student209	10120208	Network_1404	table tennis
student210	10120209	Network_1404	badminton
student211	10120210	Network_1404	volleyball
student212	10120211	Network_1404	badminton
student213	10120212	Network_1404	volleyball
student214	10120213	Network_1404	tennis
student215	10120214	Network_1405	volleyball
student216	10120215	Network_1405	swimming
student217	10120216	Network_1405	football
student218	10120217	Network_1405	football
student219	10120218	Network_1405	table tennis
student220	10120219	Network_1405	badminton
student221	10120220	Network_1405	volleyball
student222	10120221	Network_1405	tennis
student223	10120222	Network_1405	volleyball
student224	10120223	Network_1405	volleyball
student225	10120224	Network_1405	tennis
student226	10120225	Network_1405	volleyball
student227	10120226	Network_1405	basketball
student228	10120227	Network_1405	taekwondo
student229	10120228	Network_1405	taekwondo
student230	10120229	Network_1405	table tennis
student231	10120230	Network_1405	badminton
student232	10120231	Network_1405	tennis
student233	10120232	Network_1405	swimming
student234	10120233	Network_1405	volleyball
student235	10120234	Network_1405	football
student236	10120235	Network_1405	table tennis
student237	10120236	Network_1405	badminton
student238	10120237	Network_1405	swimming
student239	10120238	Network_1405	tennis
student240	10120239	Network_1405	volleyball
student241	10120240	Network_1405	badminton
student242	10120241	Network_1405	basketball
student243	10120242	Network_1405	tennis
student244	10120243	Network_1405	tennis
student245	10120244	Network_1405	badminton
student246	10120245	Network_1405	swimming
student247	10120246	Network_1405	table tennis
student248	10120247	Network_1405	badminton
student249	10120248	Network_1405	volleyball
student250	10120249	Network_1405	tennis
student251	10120250	Network_1405	badminton
student252	10120251	Network_1405	basketball
student253	10120252	Network_1405	table tennis
student254	10120253	Network_1405	table tennis
student255	10120254	Network_1405	table tennis
student256	10120255	Network_1405	table tennis
student257	10120256	Network_1405	taekwondo
student258	10120257	Network_1405	taekwondo
student259	10120258	Network_1405	football
student260	10120259	Network_1405	football
student261	10120260	Network_1405	gymnastics
student262	10120261	Network_1405	swimming
student263	10120262	Network_1405	swimming
student264	10120263	Network_1405	table tennis
student265	10120264	Network_1405	taekwondo
student266	10120265	Network_1405	taekwondo
student267	10120266	Network_1405	gymnastics
student268	10120267	Network_1405	gymnastics
student269	10120268	Network_1405	badminton
student270	10120269	Network_1405	taekwondo
student271	10120270	Network_1405	gymnastics
student272	10120271	Network_1405	table tennis
student273	10120272	Network_1405	taekwondo
student274	10120273	Network_1405	taekwondo
student275	10120274	Network_1405	football
student276	10120275	Network_1405	football
student277	10120276	Network_1405	gymnastics
student278	10120277	Network_1405	swimming
student279	10120278	Network_1405	swimming
student280	10120279	Network_1405	table tennis
student281	10120280	Network_1405	taekwondo
student282	10120281	Network_1405	taekwondo
student283	10120282	Network_1405	gymnastics
student284	10120283	Network_1405	gymnastics
student285	10120284	Network_1405	basketball
student286	10120285	Network_1405	basketball
student287	10120286	Network_1405	basketball
student288	10120287	Network_1405	gymnastics
student289	10120288	Network_1405	gymnastics
student290	10120289	Network_1405	basketball
student291	10120290	Network_1405	tennis
student292	10120291	Network_1405	gymnastics
student293	10120292	Network_1405	basketball
student294	10120293	Network_1405	gymnastics
student295	10120294	Software_1401	tennis
student296	10120295	Software_1401	basketball
student297	10120296	Software_1401	tennis
student298	10120297	Software_1401	badminton
student299	10120298	Software_1401	basketball
student300	10120299	Software_1401	football
student301	10120300	Software_1401	basketball
student302	10120301	Software_1401	football
student303	10120302	Software_1401	table tennis
student304	10120303	Software_1401	swimming
student305	10120304	Software_1401	swimming
student306	10120305	Software_1401	swimming
student307	10120306	Software_1401	football
student308	10120307	Software_1401	table tennis
student309	10120308	Software_1401	badminton
student310	10120309	Software_1401	volleyball
student311	10120310	Software_1401	badminton
student312	10120311	Software_1401	volleyball
student313	10120312	Software_1401	tennis
student314	10120313	Software_1401	volleyball
student315	10120314	Software_1401	swimming
student316	10120315	Software_1401	football
student317	10120316	Software_1401	football
student318	10120317	Software_1401	table tennis
student319	10120318	Software_1401	badminton
student320	10120319	Software_1401	volleyball
student321	10120320	Software_1401	tennis
student322	10120321	Software_1401	volleyball
student323	10120322	Software_1401	volleyball
student324	10120323	Software_1401	tennis
student325	10120324	Software_1401	volleyball
student326	10120325	Software_1401	basketball
student327	10120326	Software_1401	taekwondo
student328	10120327	Software_1401	taekwondo
student329	10120328	Software_1401	table tennis
student330	10120329	Software_1401	badminton
student331	10120330	Software_1401	tennis
student332	10120331	Software_1401	swimming
student333	10120332	Software_1401	volleyball
student334	10120333	Software_1401	football
student335	10120334	Software_1401	table tennis
student336	10120335	Software_1401	badminton
student337	10120336	Software_1401	swimming
student338	10120337	Software_1401	tennis
student339	10120338	Software_1401	volleyball
student340	10120339	Software_1401	badminton
student341	10120340	Software_1401	basketball
student342	10120341	Software_1401	tennis
student343	10120342	Software_1401	tennis
student344	10120343	Software_1402	badminton
student345	10120344	Software_1402	swimming
student346	10120345	Software_1402	table tennis
student347	10120346	Software_1402	badminton
student348	10120347	Software_1402	volleyball
student349	10120348	Software_1402	tennis
student350	10120349	Software_1402	badminton
student351	10120350	Software_1402	basketball
student352	10120351	Software_1402	table tennis
student353	10120352	Software_1402	table tennis
student354	10120353	Software_1402	table tennis
student355	10120354	Software_1402	table tennis
student356	10120355	Software_1402	taekwondo
student357	10120356	Software_1402	taekwondo
student358	10120357	Software_1402	football
student359	10120358	Software_1402	football
student360	10120359	Software_1402	gymnastics
student361	10120360	Software_1402	swimming
student362	10120361	Software_1402	swimming
student363	10120362	Software_1402	table tennis
student364	10120363	Software_1402	taekwondo
student365	10120364	Software_1402	taekwondo
student366	10120365	Software_1402	gymnastics
student367	10120366	Software_1402	gymnastics
student368	10120367	Software_1402	badminton
student369	10120368	Software_1402	taekwondo
student370	10120369	Software_1402	gymnastics
student371	10120370	Software_1402	table tennis
student372	10120371	Software_1402	taekwondo
student373	10120372	Software_1402	taekwondo
student374	10120373	Software_1402	football
student375	10120374	Software_1402	football
student376	10120375	Software_1402	gymnastics
student377	10120376	Software_1402	swimming
student378	10120377	Software_1402	swimming
student379	10120378	Software_1402	table tennis
student380	10120379	Software_1402	taekwondo
student381	10120380	Software_1402	taekwondo
student382	10120381	Software_1402	gymnastics
student383	10120382	Software_1402	gymnastics
student384	10120383	Software_1402	basketball
student385	10120384	Software_1402	basketball
student386	10120385	Software_1402	basketball
student387	10120386	Software_1402	gymnastics
student388	10120387	Software_1402	gymnastics
student389	10120388	Software_1402	basketball
student390	10120389	Software_1402	tennis
student391	10120390	Software_1402	gymnastics
student392	10120391	Software_1402	basketball
student393	10120392	Software_1402	gymnastics
student394	10120393	Software_1402	tennis
student395	10120394	Software_1402	basketball
student396	10120395	Software_1402	tennis
student397	10120396	Software_1402	badminton
student398	10120397	Software_1402	basketball
student399	10120398	Software_1403	football
student400	10120399	Software_1403	basketball
student401	10120400	Software_1403	football
student402	10120401	Software_1403	table tennis
student403	10120402	Software_1403	swimming
student404	10120403	Software_1403	swimming
student405	10120404	Software_1403	swimming
student406	10120405	Software_1403	football
student407	10120406	Software_1403	table tennis
student408	10120407	Software_1403	badminton
student409	10120408	Software_1403	volleyball
student410	10120409	Software_1403	badminton
student411	10120410	Software_1403	volleyball
student412	10120411	Software_1403	tennis
student413	10120412	Software_1403	volleyball
student414	10120413	Software_1403	swimming
student415	10120414	Software_1403	football
student416	10120415	Software_1403	football
student417	10120416	Software_1403	table tennis
student418	10120417	Software_1403	badminton
student419	10120418	Software_1403	volleyball
student420	10120419	Software_1403	tennis
student421	10120420	Software_1403	volleyball
student422	10120421	Software_1403	volleyball
student423	10120422	Software_1403	tennis
student424	10120423	Software_1403	volleyball
student425	10120424	Software_1403	basketball
student426	10120425	Software_1403	taekwondo
student427	10120426	Software_1403	taekwondo
student428	10120427	Software_1403	table tennis
student429	10120428	Software_1403	badminton
student430	10120429	Software_1403	tennis
student431	10120430	Software_1403	swimming
student432	10120431	Software_1403	volleyball
student433	10120432	Software_1403	football
student434	10120433	Software_1403	table tennis
student435	10120434	Software_1403	badminton
student436	10120435	Software_1403	swimming
student437	10120436	Software_1403	tennis
student438	10120437	Software_1403	volleyball
student439	10120438	Software_1403	badminton
student440	10120439	Software_1403	basketball
student441	10120440	Software_1403	tennis
student442	10120441	Software_1403	tennis
student443	10120442	Software_1403	badminton
student444	10120443	Software_1403	swimming
student445	10120444	Software_1403	table tennis
student446	10120445	Software_1403	badminton
student447	10120446	Software_1403	volleyball
student448	10120447	Software_1403	tennis
student449	10120448	Software_1403	badminton
student450	10120449	Software_1403	basketball
student451	10120450	Software_1403	table tennis
student452	10120451	Software_1403	table tennis
student453	10120452	Software_1403	table tennis
student454	10120453	Software_1404	table tennis
student455	10120454	Software_1404	taekwondo
student456	10120455	Software_1404	taekwondo
student457	10120456	Software_1404	football
student458	10120457	Software_1404	football
student459	10120458	Software_1404	gymnastics
student460	10120459	Software_1404	swimming
student461	10120460	Software_1404	swimming
student462	10120461	Software_1404	table tennis
student463	10120462	Software_1404	taekwondo
student464	10120463	Software_1404	taekwondo
student465	10120464	Software_1404	gymnastics
student466	10120465	Software_1404	gymnastics
student467	10120466	Software_1404	badminton
student468	10120467	Software_1404	taekwondo
student469	10120468	Software_1404	gymnastics
student470	10120469	Software_1404	table tennis
student471	10120470	Software_1404	taekwondo
student472	10120471	Software_1404	taekwondo
student473	10120472	Software_1404	football
student474	10120473	Software_1404	football
student475	10120474	Software_1404	gymnastics
student476	10120475	Software_1404	swimming
student477	10120476	Software_1404	swimming
student478	10120477	Software_1404	table tennis
student479	10120478	Software_1404	taekwondo
student480	10120479	Software_1404	taekwondo
student481	10120480	Software_1404	gymnastics
student482	10120481	Software_1404	gymnastics
student483	10120482	Software_1404	basketball
student484	10120483	Software_1404	basketball
student485	10120484	Software_1404	basketball
student486	10120485	Software_1404	gymnastics
student487	10120486	Software_1404	gymnastics
student488	10120487	Software_1404	basketball
student489	10120488	Software_1404	tennis
student490	10120489	Software_1404	gymnastics
student491	10120490	Software_1404	basketball
student492	10120491	Software_1404	gymnastics
student493	10120492	Software_1404	tennis
student494	10120493	Software_1404	basketball
student495	10120494	Software_1404	tennis
student496	10120495	Software_1404	badminton
student497	10120496	Software_1404	basketball
student498	10120497	Software_1404	football
student499	10120498	Software_1404	basketball
student500	10120499	Software_1404	football
student501	10120500	Software_1404	table tennis
student502	10120501	Software_1404	swimming
student503	10120502	Software_1404	swimming
student504	10120503	Software_1404	swimming
student505	10120504	Software_1404	football
student506	10120505	Software_1404	table tennis
student507	10120506	Software_1404	badminton
student508	10120507	Software_1404	volleyball
student509	10120508	Software_1404	badminton
student510	10120509	Software_1404	volleyball
student511	10120510	Software_1404	tennis
student512	10120511	Software_1404	volleyball
student513	10120512	Software_1404	swimming
student514	10120513	Software_1404	football
student515	10120514	Software_1404	football
student516	10120515	Software_1404	table tennis
student517	10120516	Software_1404	badminton
student518	10120517	Software_1404	volleyball
student519	10120518	Software_1404	tennis
student520	10120519	Software_1404	volleyball
student521	10120520	Software_1404	volleyball
student522	10120521	Software_1404	tennis
student523	10120522	Software_1404	volleyball
student524	10120523	Software_1404	basketball
student525	10120524	Software_1404	taekwondo
student526	10120525	Software_1404	taekwondo
student527	10120526	Software_1404	table tennis
student528	10120527	Software_1404	badminton
student529	10120528	Software_1404	tennis
student530	10120529	Software_1404	swimming
student531	10120530	Software_1405	volleyball
student532	10120531	Software_1405	football
student533	10120532	Software_1405	table tennis
student534	10120533	Software_1405	badminton
student535	10120534	Software_1405	swimming
student536	10120535	Software_1405	tennis
student537	10120536	Software_1405	volleyball
student538	10120537	Software_1405	badminton
student539	10120538	Software_1405	basketball
student540	10120539	Software_1405	tennis
student541	10120540	Software_1405	tennis
student542	10120541	Software_1405	badminton
student543	10120542	Software_1405	swimming
student544	10120543	Software_1405	table tennis
student545	10120544	Software_1405	badminton
student546	10120545	Software_1405	volleyball
student547	10120546	Software_1405	tennis
student548	10120547	Software_1405	badminton
student549	10120548	Software_1405	basketball
student550	10120549	Software_1405	table tennis
student551	10120550	Software_1405	table tennis
student552	10120551	Software_1405	table tennis
student553	10120552	Software_1405	table tennis
student554	10120553	Software_1405	taekwondo
student555	10120554	Software_1405	taekwondo
student556	10120555	Software_1405	football
student557	10120556	Software_1405	football
student558	10120557	Software_1405	gymnastics
student559	10120558	Software_1405	swimming
student560	10120559	Software_1405	swimming
student561	10120560	Software_1405	table tennis
student562	10120561	Software_1405	taekwondo
student563	10120562	Software_1405	taekwondo
student564	10120563	Software_1405	gymnastics
student565	10120564	Software_1405	gymnastics
student566	10120565	Software_1405	badminton
student567	10120566	Software_1405	taekwondo
student568	10120567	Software_1405	gymnastics
student569	10120568	Software_1405	table tennis
student570	10120569	Software_1405	taekwondo
student571	10120570	Software_1405	taekwondo
student572	10120571	Software_1405	football
student573	10120572	Software_1405	football
student574	10120573	Software_1405	gymnastics
student575	10120574	Software_1405	swimming
student576	10120575	Software_1405	swimming
student577	10120576	Software_1406	table tennis
student578	10120577	Software_1406	taekwondo
student579	10120578	Software_1406	taekwondo
student580	10120579	Software_1406	gymnastics
student581	10120580	Software_1406	gymnastics
student582	10120581	Software_1406	basketball
student583	10120582	Software_1406	basketball
student584	10120583	Software_1406	basketball
student585	10120584	Software_1406	gymnastics
student586	10120585	Software_1406	gymnastics
student587	10120586	Software_1406	basketball
student588	10120587	Software_1406	tennis
student589	10120588	Software_1406	gymnastics
student590	10120589	Software_1406	basketball
student591	10120590	Software_1406	gymnastics
student592	10120591	Software_1406	tennis
student593	10120592	Software_1406	basketball
student594	10120593	Software_1406	tennis
student595	10120594	Software_1406	table tennis
student596	10120595	Software_1406	badminton
student597	10120596	Software_1406	table tennis
student598	10120597	Software_1406	badminton
student599	10120598	Software_1406	swimming
student600	10120599	Software_1406	table tennis
student601	10120600	Software_1406	swimming
student602	10120601	Software_1406	table tennis
student603	10120602	Software_1406	badminton
student604	10120603	Software_1406	swimming
student605	10120604	Software_1406	badminton
student606	10120605	Software_1406	basketball
student607	10120606	Software_1406	football
student608	10120607	Software_1406	basketball
student609	10120608	Software_1406	football
student610	10120609	Software_1406	table tennis
student611	10120610	Software_1406	swimming
student612	10120611	Software_1406	swimming
student613	10120612	Software_1406	swimming
student614	10120613	Software_1406	football
student615	10120614	Software_1406	table tennis
student616	10120615	Software_1406	badminton
student617	10120616	Software_1406	volleyball
student618	10120617	Software_1406	badminton
student619	10120618	Software_1406	volleyball
student620	10120619	Software_1406	tennis
student621	10120620	Software_1406	volleyball
student622	10120621	Software_1406	swimming
student623	10120622	Software_1406	football
student624	10120623	Software_1406	football
student625	10120624	Software_1406	table tennis
student626	10120625	Software_1406	badminton
student627	10120626	Software_1406	volleyball
student628	10120627	Software_1406	tennis
student629	10120628	Software_1407	volleyball
student630	10120629	Software_1407	volleyball
student631	10120630	Software_1407	tennis
student632	10120631	Software_1407	volleyball
student633	10120632	Software_1407	basketball
student634	10120633	Software_1407	taekwondo
student635	10120634	Software_1407	taekwondo
student636	10120635	Software_1407	table tennis
student637	10120636	Software_1407	badminton
student638	10120637	Software_1407	tennis
student639	10120638	Software_1407	swimming
student640	10120639	Software_1407	volleyball
student641	10120640	Software_1407	football
student642	10120641	Software_1407	table tennis
student643	10120642	Software_1407	badminton
student644	10120643	Software_1407	swimming
student645	10120644	Software_1407	tennis
student646	10120645	Software_1407	volleyball
student647	10120646	Software_1407	badminton
student648	10120647	Software_1407	basketball
student649	10120648	Software_1407	tennis
student650	10120649	Software_1407	tennis
student651	10120650	Software_1407	badminton
student652	10120651	Software_1407	swimming
student653	10120652	Software_1407	table tennis
student654	10120653	Software_1407	badminton
student655	10120654	Software_1407	volleyball
student656	10120655	Software_1407	tennis
student657	10120656	Software_1407	badminton
student658	10120657	Software_1407	basketball
student659	10120658	Software_1407	table tennis
student660	10120659	Software_1407	table tennis
student661	10120660	Software_1407	table tennis
student662	10120661	Software_1407	table tennis
student663	10120662	Software_1407	taekwondo
student664	10120663	Software_1407	taekwondo
student665	10120664	Software_1407	football
student666	10120665	Software_1407	football
student667	10120666	Software_1407	gymnastics
student668	10120667	Software_1407	swimming
student669	10120668	Software_1407	swimming
student670	10120669	Software_1407	table tennis
student671	10120670	Software_1407	taekwondo
student672	10120671	Software_1407	taekwondo
student673	10120672	Software_1407	gymnastics
student674	10120673	Software_1407	gymnastics
student675	10120674	Software_1407	badminton
student676	10120675	Software_1407	taekwondo
student677	10120676	Software_1407	gymnastics
student678	10120677	Software_1407	table tennis
student679	10120678	Software_1407	taekwondo
student680	10120679	Software_1407	taekwondo
student681	10120680	Software_1407	football
student682	10120681	Software_1407	football
student683	10120682	Software_1407	gymnastics
student684	10120683	Software_1407	swimming
student685	10120684	Software_1407	swimming
student686	10120685	Software_1407	table tennis
student687	10120686	Software_1407	taekwondo
student688	10120687	Software_1407	taekwondo
student689	10120688	Software_1407	gymnastics
student690	10120689	Software_1407	gymnastics
student691	10120690	Software_1407	basketball
student692	10120691	Software_1407	basketball
student693	10120692	Computer_1401	basketball
student694	10120693	Computer_1401	gymnastics
student695	10120694	Computer_1401	gymnastics
student696	10120695	Computer_1401	basketball
student697	10120696	Computer_1401	tennis
student698	10120697	Computer_1401	gymnastics
student699	10120698	Computer_1401	basketball
student700	10120699	Computer_1401	gymnastics
student701	10120700	Computer_1401	tennis
student702	10120701	Computer_1401	basketball
student703	10120702	Computer_1401	tennis
student704	10120703	Computer_1401	badminton
student705	10120704	Computer_1401	basketball
student706	10120705	Computer_1401	football
student707	10120706	Computer_1401	basketball
student708	10120707	Computer_1401	football
student709	10120708	Computer_1401	table tennis
student710	10120709	Computer_1401	swimming
student711	10120710	Computer_1401	swimming
student712	10120711	Computer_1401	swimming
student713	10120712	Computer_1401	football
student714	10120713	Computer_1401	table tennis
student715	10120714	Computer_1401	badminton
student716	10120715	Computer_1401	volleyball
student717	10120716	Computer_1401	badminton
student718	10120717	Computer_1401	volleyball
student719	10120718	Computer_1401	tennis
student720	10120719	Computer_1401	volleyball
student721	10120720	Computer_1401	swimming
student722	10120721	Computer_1401	football
student723	10120722	Computer_1401	football
student724	10120723	Computer_1401	table tennis
student725	10120724	Computer_1401	badminton
student726	10120725	Computer_1401	volleyball
student727	10120726	Computer_1401	tennis
student728	10120727	Computer_1401	volleyball
student729	10120728	Computer_1401	volleyball
student730	10120729	Computer_1401	tennis
student731	10120730	Computer_1401	volleyball
student732	10120731	Computer_1401	basketball
student733	10120732	Computer_1401	taekwondo
student734	10120733	Computer_1401	taekwondo
student735	10120734	Computer_1401	table tennis
student736	10120735	Computer_1401	badminton
student737	10120736	Computer_1401	tennis
student738	10120737	Computer_1401	swimming
student739	10120738	Computer_1401	volleyball
student740	10120739	Computer_1401	football
student741	10120740	Computer_1401	table tennis
student742	10120741	Computer_1401	badminton
student743	10120742	Computer_1401	swimming
student744	10120743	Computer_1402	tennis
student745	10120744	Computer_1402	volleyball
student746	10120745	Computer_1402	badminton
student747	10120746	Computer_1402	basketball
student748	10120747	Computer_1402	tennis
student749	10120748	Computer_1402	tennis
student750	10120749	Computer_1402	badminton
student751	10120750	Computer_1402	swimming
student752	10120751	Computer_1402	table tennis
student753	10120752	Computer_1402	badminton
student754	10120753	Computer_1402	volleyball
student755	10120754	Computer_1402	tennis
student756	10120755	Computer_1402	badminton
student757	10120756	Computer_1402	basketball
student758	10120757	Computer_1402	table tennis
student759	10120758	Computer_1402	table tennis
student760	10120759	Computer_1402	table tennis
student761	10120760	Computer_1402	table tennis
student762	10120761	Computer_1402	taekwondo
student763	10120762	Computer_1402	taekwondo
student764	10120763	Computer_1402	football
student765	10120764	Computer_1402	football
student766	10120765	Computer_1402	gymnastics
student767	10120766	Computer_1402	swimming
student768	10120767	Computer_1402	swimming
student769	10120768	Computer_1402	table tennis
student770	10120769	Computer_1402	taekwondo
student771	10120770	Computer_1402	taekwondo
student772	10120771	Computer_1402	gymnastics
student773	10120772	Computer_1402	gymnastics
student774	10120773	Computer_1402	badminton
student775	10120774	Computer_1402	taekwondo
student776	10120775	Computer_1402	gymnastics
student777	10120776	Computer_1402	table tennis
student778	10120777	Computer_1402	taekwondo
student779	10120778	Computer_1402	taekwondo
student780	10120779	Computer_1402	football
student781	10120780	Computer_1402	football
student782	10120781	Computer_1402	gymnastics
student783	10120782	Computer_1402	swimming
student784	10120783	Computer_1402	swimming
student785	10120784	Computer_1402	table tennis
student786	10120785	Computer_1402	taekwondo
student787	10120786	Computer_1402	taekwondo
student788	10120787	Computer_1402	gymnastics
student789	10120788	Computer_1402	gymnastics
student790	10120789	Computer_1402	basketball
student791	10120790	Computer_1402	basketball
student792	10120791	Computer_1402	basketball
student793	10120792	Computer_1402	gymnastics
