stname	stID	class	opt_cour	score
student61	10120060	Network_1402	football	73.8
student62	10120061	Network_1402	football	82
student63	10120062	Network_1402	gymnastics	86.1
student64	10120063	Network_1402	swimming	88.6
student65	10120064	Network_1402	swimming	83.1
student66	10120065	Network_1402	table tennis	75.5
student67	10120066	Network_1402	taekwondo	86.9
student68	10120067	Network_1402	taekwondo	87.8
student69	10120068	Network_1402	gymnastics	73.5
student70	10120069	Network_1402	gymnastics	80.9
student71	10120070	Network_1402	badminton	88.4
student72	10120071	Network_1402	taekwondo	73.7
student73	10120072	Network_1402	gymnastics	65.6
student74	10120073	Network_1402	table tennis	83.5
student75	10120074	Network_1402	taekwondo	71.1
student76	10120075	Network_1402	taekwondo	79.5
student77	10120076	Network_1402	football	91.6
student78	10120077	Network_1402	football	82.5
student79	10120078	Network_1402	gymnastics	65.4
student80	10120079	Network_1402	swimming	66.7
student81	10120080	Network_1402	swimming	69.6
student82	10120081	Network_1402	table tennis	87.4
student83	10120082	Network_1402	taekwondo	87.7
student84	10120083	Network_1402	taekwondo	86.6
student85	10120084	Network_1402	gymnastics	71.6
student86	10120085	Network_1402	gymnastics	78
student87	10120086	Network_1402	basketball	84.1
student88	10120087	Network_1402	basketball	89.4
student89	10120088	Network_1402	basketball	72.6
student90	10120089	Network_1402	gymnastics	96.4
student91	10120090	Network_1402	gymnastics	86.1
student92	10120091	Network_1402	basketball	84.7
student93	10120092	Network_1402	tennis	79.8
student94	10120093	Network_1402	gymnastics	56.3
student95	10120094	Network_1402	basketball	94.9
student96	10120095	Network_1402	gymnastics	85.5
student97	10120096	Network_1402	tennis	80
student98	10120097	Network_1402	basketball	88.6
student99	10120098	Network_1402	tennis	91.6
student100	10120099	Network_1402	badminton	95.4
student101	10120100	Network_1403	basketball	88.4
student102	10120101	Network_1403	football	80.4
student103	10120102	Network_1403	basketball	74.9
student104	10120103	Network_1403	football	91.1
student105	10120104	Network_1403	table tennis	76.1
student106	10120105	Network_1403	swimming	80.8
student107	10120106	Network_1403	swimming	71.7
student108	10120107	Network_1403	swimming	92.9
student109	10120108	Network_1403	football	64.3
student110	10120109	Network_1403	table tennis	80.4
student111	10120110	Network_1403	badminton	99.8
student112	10120111	Network_1403	volleyball	99.1
student113	10120112	Network_1403	badminton	73.4
student114	10120113	Network_1403	volleyball	76.7
student115	10120114	Network_1403	tennis	88.9
student116	10120115	Network_1403	volleyball	79.4
student117	10120116	Network_1403	swimming	71.5
student118	10120117	Network_1403	football	71.7
student119	10120118	Network_1403	football	82.2
student120	10120119	Network_1403	table tennis	76.7
student121	10120120	Network_1403	badminton	62.2
student122	10120121	Network_1403	volleyball	77.7
student123	10120122	Network_1403	tennis	92.8
student124	10120123	Network_1403	volleyball	81.9
student125	10120124	Network_1403	volleyball	88.8
student126	10120125	Network_1403	tennis	84.4
student127	10120126	Network_1403	volleyball	87.2
student128	10120127	Network_1403	basketball	81.4
student129	10120128	Network_1403	taekwondo	89.3
student130	10120129	Network_1403	taekwondo	86
student131	10120130	Network_1403	table tennis	73.9
student132	10120131	Network_1403	badminton	76.1
student133	10120132	Network_1403	tennis	82.1
student134	10120133	Network_1403	swimming	76.8
student135	10120134	Network_1403	volleyball	83.4
student136	10120135	Network_1403	football	71.3
student137	10120136	Network_1403	table tennis	81.7
student138	10120137	Network_1403	badminton	74.8
student139	10120138	Network_1403	swimming	80.7
student140	10120139	Network_1403	tennis	80.3
student141	10120140	Network_1403	volleyball	72
student142	10120141	Network_1403	badminton	73.6
student143	10120142	Network_1403	basketball	77.1
student144	10120143	Network_1403	tennis	80.3
student145	10120144	Network_1403	tennis	77.8
student146	10120145	Network_1403	badminton	77.4
student147	10120146	Network_1403	swimming	86.5
student148	10120147	Network_1403	table tennis	70.8
student149	10120148	Network_1403	badminton	82.5
student150	10120149	Network_1403	volleyball	73.2
student151	10120150	Network_1403	tennis	88.7
student152	10120151	Network_1403	badminton	84.7
student153	10120152	Network_1403	basketball	89.5
student154	10120153	Network_1403	table tennis	98.7
student155	10120154	Network_1403	table tennis	80.2
student156	10120155	Network_1403	table tennis	73.6
student157	10120156	Network_1403	table tennis	75.9
student158	10120157	Network_1403	taekwondo	80.2
student159	10120158	Network_1403	taekwondo	82.2
student160	10120159	Network_1404	football	75.8
student161	10120160	Network_1404	football	78.7
student162	10120161	Network_1404	gymnastics	81
student163	10120162	Network_1404	swimming	83.4
student164	10120163	Network_1404	swimming	89.1
student165	10120164	Network_1404	table tennis	72.5
student166	10120165	Network_1404	taekwondo	70.4
student167	10120166	Network_1404	taekwondo	89.3
student168	10120167	Network_1404	gymnastics	79.2
student169	10120168	Network_1404	gymnastics	75
student170	10120169	Network_1404	badminton	88.1
student171	10120170	Network_1404	taekwondo	80.9
student172	10120171	Network_1404	gymnastics	96.1
student173	10120172	Network_1404	table tennis	74
student174	10120173	Network_1404	taekwondo	84.3
student175	10120174	Network_1404	taekwondo	79.8
student176	10120175	Network_1404	football	93.1
student177	10120176	Network_1404	football	89.7
student178	10120177	Network_1404	gymnastics	76.2
student179	10120178	Network_1404	swimming	73.2
student180	10120179	Network_1404	swimming	81.4
student181	10120180	Network_1404	table tennis	82.6
student182	10120181	Network_1404	taekwondo	75.2
student183	10120182	Network_1404	taekwondo	98.2
student184	10120183	Network_1404	gymnastics	78
student185	10120184	Network_1404	gymnastics	70.5
student186	10120185	Network_1404	basketball	77.7
student187	10120186	Network_1404	basketball	78.5
student188	10120187	Network_1404	basketball	77.2
student189	10120188	Network_1404	gymnastics	70.4
student190	10120189	Network_1404	gymnastics	99.4
student191	10120190	Network_1404	basketball	67.5
student192	10120191	Network_1404	tennis	77.3
student193	10120192	Network_1404	gymnastics	82.6
student194	10120193	Network_1404	basketball	73.6
student195	10120194	Network_1404	gymnastics	89.2
student196	10120195	Network_1404	tennis	70
student197	10120196	Network_1404	basketball	87.1
student198	10120197	Network_1404	tennis	74.4
student199	10120198	Network_1404	badminton	70.4
student200	10120199	Network_1404	basketball	73
student201	10120200	Network_1404	football	87.3
student202	10120201	Network_1404	basketball	89.7
student203	10120202	Network_1404	football	89
student204	10120203	Network_1404	table tennis	73.6
student205	10120204	Network_1404	swimming	80.3
student206	10120205	Network_1404	swimming	66.2
student207	10120206	Network_1404	swimming	73.9
student208	10120207	Network_1404	football	84.2
student209	10120208	Network_1404	table tennis	86
student210	10120209	Network_1404	badminton	78.9
student211	10120210	Network_1404	volleyball	83.1
student212	10120211	Network_1404	badminton	72.3
student213	10120212	Network_1404	volleyball	77.3
student214	10120213	Network_1404	tennis	99.8
student215	10120214	Network_1405	volleyball	85.5
student216	10120215	Network_1405	swimming	81.7
student217	10120216	Network_1405	football	73.8
student218	10120217	Network_1405	football	70.6
student219	10120218	Network_1405	table tennis	85.9
student220	10120219	Network_1405	badminton	79.4
student221	10120220	Network_1405	volleyball	71.4
student222	10120221	Network_1405	tennis	76.9
student223	10120222	Network_1405	volleyball	71.6
student224	10120223	Network_1405	volleyball	87.2
student225	10120224	Network_1405	tennis	73.1
student226	10120225	Network_1405	volleyball	77.9
student227	10120226	Network_1405	basketball	75.4
student228	10120227	Network_1405	taekwondo	93.8
student229	10120228	Network_1405	taekwondo	79.4
student230	10120229	Network_1405	table tennis	82.6
student231	10120230	Network_1405	badminton	84.8
student232	10120231	Network_1405	tennis	72.7
student233	10120232	Network_1405	swimming	78.6
student234	10120233	Network_1405	volleyball	67.9
student235	10120234	Network_1405	football	77.8
student236	10120235	Network_1405	table tennis	72.8
student237	10120236	Network_1405	badminton	74.2
student238	10120237	Network_1405	swimming	72.9
student239	10120238	Network_1405	tennis	82.9
student240	10120239	Network_1405	volleyball	87.8
student241	10120240	Network_1405	badminton	82.7
student242	10120241	Network_1405	basketball	66.6
student243	10120242	Network_1405	tennis	74
student244	10120243	Network_1405	tennis	75.6
student245	10120244	Network_1405	badminton	68.4
student246	10120245	Network_1405	swimming	86
student247	10120246	Network_1405	table tennis	71.6
student248	10120247	Network_1405	badminton	88.5
student249	10120248	Network_1405	volleyball	80.1
student250	10120249	Network_1405	tennis	77
student251	10120250	Network_1405	badminton	93.2
student252	10120251	Network_1405	basketball	72.2
student253	10120252	Network_1405	table tennis	64.1
student254	10120253	Network_1405	table tennis	75.2
student255	10120254	Network_1405	table tennis	92.8
student256	10120255	Network_1405	table tennis	93.9
student257	10120256	Network_1405	taekwondo	87.3
student258	10120257	Network_1405	taekwondo	79.3
student259	10120258	Network_1405	football	73.1
student260	10120259	Network_1405	football	60.9
student261	10120260	Network_1405	gymnastics	77.8
student262	10120261	Network_1405	swimming	74.3
student263	10120262	Network_1405	swimming	81
student264	10120263	Network_1405	table tennis	87.9
student265	10120264	Network_1405	taekwondo	98.9
student266	10120265	Network_1405	taekwondo	73
student267	10120266	Network_1405	gymnastics	88.6
student268	10120267	Network_1405	gymnastics	86.5
student269	10120268	Network_1405	badminton	77.1
student270	10120269	Network_1405	taekwondo	52.9
student271	10120270	Network_1405	gymnastics	88.4
student272	10120271	Network_1405	table tennis	99.7
student273	10120272	Network_1405	taekwondo	75.3
student274	10120273	Network_1405	taekwondo	87.1
student275	10120274	Network_1405	football	82.8
student276	10120275	Network_1405	football	81
student277	10120276	Network_1405	gymnastics	78.1
student278	10120277	Network_1405	swimming	79.5
student279	10120278	Network_1405	swimming	86.3
student280	10120279	Network_1405	table tennis	72.1
student281	10120280	Network_1405	taekwondo	79.8
student282	10120281	Network_1405	taekwondo	78.5
student283	10120282	Network_1405	gymnastics	98.1
student284	10120283	Network_1405	gymnastics	73.1
student285	10120284	Network_1405	basketball	77.9
student286	10120285	Network_1405	basketball	79.3
student287	10120286	Network_1405	basketball	81.2
student288	10120287	Network_1405	gymnastics	65.2
student289	10120288	Network_1405	gymnastics	79.3
student290	10120289	Network_1405	basketball	78.3
student291	10120290	Network_1405	tennis	63.7
student292	10120291	Network_1405	gymnastics	70.2
student293	10120292	Network_1405	basketball	81.9
student294	10120293	Network_1405	gymnastics	99.9
student295	10120294	Software_1401	tennis	79.4
student296	10120295	Software_1401	basketball	82.2
student297	10120296	Software_1401	tennis	74.1
student298	10120297	Software_1401	badminton	84.7
student299	10120298	Software_1401	basketball	81.8
student300	10120299	Software_1401	football	72.5
student301	10120300	Software_1401	basketball	93.4
student302	10120301	Software_1401	football	83.2
student303	10120302	Software_1401	table tennis	81
student304	10120303	Software_1401	swimming	71.3
student305	10120304	Software_1401	swimming	89.8
student306	10120305	Software_1401	swimming	76
student307	10120306	Software_1401	football	78.9
student308	10120307	Software_1401	table tennis	82.9
student309	10120308	Software_1401	badminton	78.1
student310	10120309	Software_1401	volleyball	80.1
student311	10120310	Software_1401	badminton	75.9
student312	10120311	Software_1401	volleyball	65.7
student313	10120312	Software_1401	tennis	85.2
student314	10120313	Software_1401	volleyball	73.4
student315	10120314	Software_1401	swimming	75.2
student316	10120315	Software_1401	football	56.9
student317	10120316	Software_1401	football	61.1
student318	10120317	Software_1401	table tennis	61.3
student319	10120318	Software_1401	badminton	80.9
student320	10120319	Software_1401	volleyball	91.2
student321	10120320	Software_1401	tennis	83.7
student322	10120321	Software_1401	volleyball	74.9
student323	10120322	Software_1401	volleyball	82.3
student324	10120323	Software_1401	tennis	81.8
student325	10120324	Software_1401	volleyball	73.4
student326	10120325	Software_1401	basketball	74.4
student327	10120326	Software_1401	taekwondo	95.9
student328	10120327	Software_1401	taekwondo	89.7
student329	10120328	Software_1401	table tennis	99.1
student330	10120329	Software_1401	badminton	86.6
student331	10120330	Software_1401	tennis	76.9
student332	10120331	Software_1401	swimming	84.9
student333	10120332	Software_1401	volleyball	73.1
student334	10120333	Software_1401	football	78.2
student335	10120334	Software_1401	table tennis	66.2
student336	10120335	Software_1401	badminton	76.5
student337	10120336	Software_1401	swimming	67
student338	10120337	Software_1401	tennis	81.8
student339	10120338	Software_1401	volleyball	92.1
student340	10120339	Software_1401	badminton	76.9
student341	10120340	Software_1401	basketball	82.1
student342	10120341	Software_1401	tennis	98.3
student343	10120342	Software_1401	tennis	69
student344	10120343	Software_1402	badminton	81.8
student345	10120344	Software_1402	swimming	77
student346	10120345	Software_1402	table tennis	71.8
student347	10120346	Software_1402	badminton	78.3
student348	10120347	Software_1402	volleyball	71.3
student349	10120348	Software_1402	tennis	78.1
student350	10120349	Software_1402	badminton	87.4
student351	10120350	Software_1402	basketball	98.3
student352	10120351	Software_1402	table tennis	83.8
student353	10120352	Software_1402	table tennis	84.4
student354	10120353	Software_1402	table tennis	94
student355	10120354	Software_1402	table tennis	85
student356	10120355	Software_1402	taekwondo	78.3
student357	10120356	Software_1402	taekwondo	80.4
student358	10120357	Software_1402	football	78.7
student359	10120358	Software_1402	football	62.2
student360	10120359	Software_1402	gymnastics	85.7
student361	10120360	Software_1402	swimming	97.5
student362	10120361	Software_1402	swimming	70.8
student363	10120362	Software_1402	table tennis	87.7
student364	10120363	Software_1402	taekwondo	86.1
student365	10120364	Software_1402	taekwondo	92.3
student366	10120365	Software_1402	gymnastics	72.2
student367	10120366	Software_1402	gymnastics	62.5
student368	10120367	Software_1402	badminton	87.9
student369	10120368	Software_1402	taekwondo	94.8
student370	10120369	Software_1402	gymnastics	89.2
student371	10120370	Software_1402	table tennis	99.5
student372	10120371	Software_1402	taekwondo	75
student373	10120372	Software_1402	taekwondo	76.9
student374	10120373	Software_1402	football	82.5
student375	10120374	Software_1402	football	74
student376	10120375	Software_1402	gymnastics	76.5
student377	10120376	Software_1402	swimming	85.3
student378	10120377	Software_1402	swimming	81.2
student379	10120378	Software_1402	table tennis	70.8
student380	10120379	Software_1402	taekwondo	77.8
student381	10120380	Software_1402	taekwondo	70.6
student382	10120381	Software_1402	gymnastics	62.6
student383	10120382	Software_1402	gymnastics	71.5
student384	10120383	Software_1402	basketball	80.4
student385	10120384	Software_1402	basketball	92.4
student386	10120385	Software_1402	basketball	79.8
student387	10120386	Software_1402	gymnastics	75.5
student388	10120387	Software_1402	gymnastics	75.6
student389	10120388	Software_1402	basketball	82.9
student390	10120389	Software_1402	tennis	88.4
student391	10120390	Software_1402	gymnastics	79.6
student392	10120391	Software_1402	basketball	73.5
student393	10120392	Software_1402	gymnastics	86
student394	10120393	Software_1402	tennis	88.6
student395	10120394	Software_1402	basketball	83.1
student396	10120395	Software_1402	tennis	87
student397	10120396	Software_1402	badminton	98.6
student398	10120397	Software_1402	basketball	63.3
student399	10120398	Software_1403	football	82.4
student400	10120399	Software_1403	basketball	76
student401	10120400	Software_1403	football	79.3
student402	10120401	Software_1403	table tennis	79.4
student403	10120402	Software_1403	swimming	94
student404	10120403	Software_1403	swimming	83.2
student405	10120404	Software_1403	swimming	89.6
student406	10120405	Software_1403	football	74.5
student407	10120406	Software_1403	table tennis	77.2
student408	10120407	Software_1403	badminton	71.2
student409	10120408	Software_1403	volleyball	70.6
student410	10120409	Software_1403	badminton	88.8
student411	10120410	Software_1403	volleyball	88.5
student412	10120411	Software_1403	tennis	86.2
student413	10120412	Software_1403	volleyball	91.8
student414	10120413	Software_1403	swimming	79.7
student415	10120414	Software_1403	football	84.6
student416	10120415	Software_1403	football	74.3
student417	10120416	Software_1403	table tennis	86.9
student418	10120417	Software_1403	badminton	68.3
student419	10120418	Software_1403	volleyball	76.8
student420	10120419	Software_1403	tennis	77
student421	10120420	Software_1403	volleyball	89.7
student422	10120421	Software_1403	volleyball	74.7
student423	10120422	Software_1403	tennis	89.8
student424	10120423	Software_1403	volleyball	71.4
student425	10120424	Software_1403	basketball	81.6
student426	10120425	Software_1403	taekwondo	67.6
student427	10120426	Software_1403	taekwondo	98.6
student428	10120427	Software_1403	table tennis	91.4
student429	10120428	Software_1403	badminton	89.9
student430	10120429	Software_1403	tennis	75
student431	10120430	Software_1403	swimming	72.5
student432	10120431	Software_1403	volleyball	70.3
student433	10120432	Software_1403	football	75.9
student434	10120433	Software_1403	table tennis	77.7
student435	10120434	Software_1403	badminton	74.9
student436	10120435	Software_1403	swimming	87
student437	10120436	Software_1403	tennis	88.7
student438	10120437	Software_1403	volleyball	68
student439	10120438	Software_1403	badminton	86
student440	10120439	Software_1403	basketball	79.9
student441	10120440	Software_1403	tennis	87.8
student442	10120441	Software_1403	tennis	79.9
student443	10120442	Software_1403	badminton	76.5
student444	10120443	Software_1403	swimming	85.5
student445	10120444	Software_1403	table tennis	82.3
student446	10120445	Software_1403	badminton	63.3
student447	10120446	Software_1403	volleyball	85.1
student448	10120447	Software_1403	tennis	82.8
student449	10120448	Software_1403	badminton	97.9
student450	10120449	Software_1403	basketball	87.1
student451	10120450	Software_1403	table tennis	85.7
student452	10120451	Software_1403	table tennis	88.8
student453	10120452	Software_1403	table tennis	88.6
student454	10120453	Software_1404	table tennis	98.5
student455	10120454	Software_1404	taekwondo	92.8
student456	10120455	Software_1404	taekwondo	79.9
student457	10120456	Software_1404	football	71.6
student458	10120457	Software_1404	football	84
student459	10120458	Software_1404	gymnastics	76.7
student460	10120459	Software_1404	swimming	77.3
student461	10120460	Software_1404	swimming	62.7
student462	10120461	Software_1404	table tennis	83.8
student463	10120462	Software_1404	taekwondo	88.1
student464	10120463	Software_1404	taekwondo	71
student465	10120464	Software_1404	gymnastics	86.1
student466	10120465	Software_1404	gymnastics	77.6
student467	10120466	Software_1404	badminton	85.6
student468	10120467	Software_1404	taekwondo	89.5
student469	10120468	Software_1404	gymnastics	91
student470	10120469	Software_1404	table tennis	76
student471	10120470	Software_1404	taekwondo	79.5
student472	10120471	Software_1404	taekwondo	72.2
student473	10120472	Software_1404	football	95.2
student474	10120473	Software_1404	football	75
student475	10120474	Software_1404	gymnastics	84.2
student476	10120475	Software_1404	swimming	86.6
student477	10120476	Software_1404	swimming	82
student478	10120477	Software_1404	table tennis	74.4
student479	10120478	Software_1404	taekwondo	99.8
student480	10120479	Software_1404	taekwondo	88.8
student481	10120480	Software_1404	gymnastics	87.4
student482	10120481	Software_1404	gymnastics	75.7
student483	10120482	Software_1404	basketball	92
student484	10120483	Software_1404	basketball	79
student485	10120484	Software_1404	basketball	80.1
student486	10120485	Software_1404	gymnastics	79.9
student487	10120486	Software_1404	gymnastics	87.9
student488	10120487	Software_1404	basketball	85.4
student489	10120488	Software_1404	tennis	80.6
student490	10120489	Software_1404	gymnastics	68.6
student491	10120490	Software_1404	basketball	80.5
student492	10120491	Software_1404	gymnastics	82.1
student493	10120492	Software_1404	tennis	86.5
student494	10120493	Software_1404	basketball	84.9
student495	10120494	Software_1404	tennis	70.4
student496	10120495	Software_1404	badminton	81.8
student497	10120496	Software_1404	basketball	71.3
student498	10120497	Software_1404	football	84.4
student499	10120498	Software_1404	basketball	63.1
student500	10120499	Software_1404	football	70.8
student501	10120500	Software_1404	table tennis	71.7
student502	10120501	Software_1404	swimming	72.6
student503	10120502	Software_1404	swimming	83.9
student504	10120503	Software_1404	swimming	75.4
student505	10120504	Software_1404	football	80.2
student506	10120505	Software_1404	table tennis	80.4
student507	10120506	Software_1404	badminton	75.8
student508	10120507	Software_1404	volleyball	89.7
student509	10120508	Software_1404	badminton	74.6
student510	10120509	Software_1404	volleyball	68.6
student511	10120510	Software_1404	tennis	73.6
student512	10120511	Software_1404	volleyball	89.2
student513	10120512	Software_1404	swimming	75.3
student514	10120513	Software_1404	football	86
student515	10120514	Software_1404	football	71.4
student516	10120515	Software_1404	table tennis	82.5
student517	10120516	Software_1404	badminton	80.7
student518	10120517	Software_1404	volleyball	82.3
student519	10120518	Software_1404	tennis	74.1
student520	10120519	Software_1404	volleyball	65.7
student521	10120520	Software_1404	volleyball	79.8
student522	10120521	Software_1404	tennis	86.2
student523	10120522	Software_1404	volleyball	97.6
student524	10120523	Software_1404	basketball	63
student525	10120524	Software_1404	taekwondo	71.6
student526	10120525	Software_1404	taekwondo	89.3
student527	10120526	Software_1404	table tennis	55.9
student528	10120527	Software_1404	badminton	77.2
student529	10120528	Software_1404	tennis	79.8
student530	10120529	Software_1404	swimming	95.5
student531	10120530	Software_1405	volleyball	77.9
student532	10120531	Software_1405	football	71.1
student533	10120532	Software_1405	table tennis	72.2
student534	10120533	Software_1405	badminton	74.9
student535	10120534	Software_1405	swimming	85.9
student536	10120535	Software_1405	tennis	74.2
student537	10120536	Software_1405	volleyball	89.5
student538	10120537	Software_1405	badminton	81.2
student539	10120538	Software_1405	basketball	84.3
student540	10120539	Software_1405	tennis	80.4
student541	10120540	Software_1405	tennis	99.8
student542	10120541	Software_1405	badminton	80.7
student543	10120542	Software_1405	swimming	76.5
student544	10120543	Software_1405	table tennis	82.3
student545	10120544	Software_1405	badminton	71.8
student546	10120545	Software_1405	volleyball	80.8
student547	10120546	Software_1405	tennis	89.2
student548	10120547	Software_1405	badminton	84.5
student549	10120548	Software_1405	basketball	67
student550	10120549	Software_1405	table tennis	75.9
student551	10120550	Software_1405	table tennis	70.1
student552	10120551	Software_1405	table tennis	80.1
student553	10120552	Software_1405	table tennis	89.1
student554	10120553	Software_1405	taekwondo	91.6
student555	10120554	Software_1405	taekwondo	72.1
student556	10120555	Software_1405	football	79.6
student557	10120556	Software_1405	football	72
student558	10120557	Software_1405	gymnastics	80
student559	10120558	Software_1405	swimming	85
student560	10120559	Software_1405	swimming	95.6
student561	10120560	Software_1405	table tennis	84
student562	10120561	Software_1405	taekwondo	70.7
student563	10120562	Software_1405	taekwondo	72.6
student564	10120563	Software_1405	gymnastics	70.4
student565	10120564	Software_1405	gymnastics	79.4
student566	10120565	Software_1405	badminton	62.9
student567	10120566	Software_1405	taekwondo	90.3
student568	10120567	Software_1405	gymnastics	89.7
student569	10120568	Software_1405	table tennis	83.2
student570	10120569	Software_1405	taekwondo	71.5
student571	10120570	Software_1405	taekwondo	93.4
student572	10120571	Software_1405	football	74.8
student573	10120572	Software_1405	football	79.4
student574	10120573	Software_1405	gymnastics	91.4
student575	10120574	Software_1405	swimming	83
student576	10120575	Software_1405	swimming	76.4
student577	10120576	Software_1406	table tennis	87.1
student578	10120577	Software_1406	taekwondo	77.1
student579	10120578	Software_1406	taekwondo	72.8
student580	10120579	Software_1406	gymnastics	93.3
student581	10120580	Software_1406	gymnastics	89.9
student582	10120581	Software_1406	basketball	78.1
student583	10120582	Software_1406	basketball	74.5
student584	10120583	Software_1406	basketball	74.6
student585	10120584	Software_1406	gymnastics	85
student586	10120585	Software_1406	gymnastics	70.1
student587	10120586	Software_1406	basketball	79.2
student588	10120587	Software_1406	tennis	89.9
student589	10120588	Software_1406	gymnastics	84
student590	10120589	Software_1406	basketball	74.4
student591	10120590	Software_1406	gymnastics	90.4
student592	10120591	Software_1406	tennis	79.5
student593	10120592	Software_1406	basketball	76.9
student594	10120593	Software_1406	tennis	84.1
student595	10120594	Software_1406	table tennis	79.1
student596	10120595	Software_1406	badminton	75.7
student597	10120596	Software_1406	table tennis	86.1
student598	10120597	Software_1406	badminton	70.4
student599	10120598	Software_1406	swimming	81.5
student600	10120599	Software_1406	table tennis	73.9
student601	10120600	Software_1406	swimming	84.2
student602	10120601	Software_1406	table tennis	76.9
student603	10120602	Software_1406	badminton	79.5
student604	10120603	Software_1406	swimming	74.6
student605	10120604	Software_1406	badminton	76.8
student606	10120605	Software_1406	basketball	63.1
student607	10120606	Software_1406	football	89.6
student608	10120607	Software_1406	basketball	81.2
student609	10120608	Software_1406	football	74.2
student610	10120609	Software_1406	table tennis	82.6
student611	10120610	Software_1406	swimming	82
student612	10120611	Software_1406	swimming	86.1
student613	10120612	Software_1406	swimming	74.4
student614	10120613	Software_1406	football	61
student615	10120614	Software_1406	table tennis	97.1
student616	10120615	Software_1406	badminton	97.7
student617	10120616	Software_1406	volleyball	80.6
student618	10120617	Software_1406	badminton	89.9
student619	10120618	Software_1406	volleyball	72.7
student620	10120619	Software_1406	tennis	59.4
student621	10120620	Software_1406	volleyball	96
student622	10120621	Software_1406	swimming	87.5
student623	10120622	Software_1406	football	81.1
student624	10120623	Software_1406	football	63.1
student625	10120624	Software_1406	table tennis	71.4
student626	10120625	Software_1406	badminton	72.9
student627	10120626	Software_1406	volleyball	83.3
student628	10120627	Software_1406	tennis	67.8
student629	10120628	Software_1407	volleyball	73.1
student630	10120629	Software_1407	volleyball	92.1
student631	10120630	Software_1407	tennis	82.5
student632	10120631	Software_1407	volleyball	76.1
student633	10120632	Software_1407	basketball	96
student634	10120633	Software_1407	taekwondo	81.1
student635	10120634	Software_1407	taekwondo	78.2
student636	10120635	Software_1407	table tennis	85.3
student637	10120636	Software_1407	badminton	78.2
student638	10120637	Software_1407	tennis	83.7
student639	10120638	Software_1407	swimming	76.4
student640	10120639	Software_1407	volleyball	89.6
student641	10120640	Software_1407	football	76.7
student642	10120641	Software_1407	table tennis	85.4
student643	10120642	Software_1407	badminton	78.6
student644	10120643	Software_1407	swimming	57.9
student645	10120644	Software_1407	tennis	75.7
student646	10120645	Software_1407	volleyball	71.4
student647	10120646	Software_1407	badminton	89.5
student648	10120647	Software_1407	basketball	87.7
student649	10120648	Software_1407	tennis	79.6
student650	10120649	Software_1407	tennis	96.8
student651	10120650	Software_1407	badminton	85.5
student652	10120651	Software_1407	swimming	71.5
student653	10120652	Software_1407	table tennis	73
student654	10120653	Software_1407	badminton	93.1
student655	10120654	Software_1407	volleyball	71.3
student656	10120655	Software_1407	tennis	87.2
student657	10120656	Software_1407	badminton	88.1
